,Unnamed: 0,Age,BusinessTravel,DailyRate,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,Gender,HourlyRate,JobLevel,MonthlyIncome,MonthlyRate,Over18,PercentSalaryHike,RelationshipSatisfaction,StandardHours,StockOptionLevel,TrainingTimesLastYear,JobRole,PerformanceRating,YearsInCurrentRole,YearsWithCurrManager,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,Attrition,JobSatisfaction,EnvironmentSatisfaction,JobInvolvement,WorkLifeBalance,OverTime,NumCompaniesWorked,JobRole_FreqEncoded,EducationField_FreqEncoded,Department_Research & Development,Department_Sales,MaritalStatus_Married,MaritalStatus_Single
51,65,55,1,836,8,3,Medical,1,84,0,33,4,14756,19730,0,14,3,80,3,2,Manager,3,0,2,3.091042453358316,1.791759469228055,0.0,0,3,4,3,3,1,2,82,389,True,False,False,False
52,66,36,2,1195,11,3,Life Sciences,1,85,1,95,2,6499,22656,0,13,3,80,0,3,Manufacturing Director,3,5,3,1.9459101490553128,1.9459101490553128,0.0,0,2,2,2,3,0,1,118,510,True,False,False,True
53,67,45,1,1339,7,3,Life Sciences,1,86,1,59,3,9724,18787,0,17,3,80,1,2,Research Scientist,3,0,0,3.258096538021482,0.6931471805599453,0.0,0,1,2,3,3,0,2,243,510,True,False,False,False
54,68,35,2,664,1,3,Medical,1,88,1,79,1,2194,5868,0,13,4,80,1,2,Research Scientist,3,2,2,1.791759469228055,1.3862943611198906,0.6931471805599453,0,1,2,3,2,0,4,243,389,True,False,True,False
55,69,36,1,318,9,3,Medical,1,90,1,79,1,3388,21777,0,17,1,80,1,0,Research Scientist,3,0,0,1.0986122886681096,0.6931471805599453,0.0,1,3,4,2,2,1,0,243,389,True,False,True,False
56,70,59,2,1225,1,1,Life Sciences,1,91,0,57,2,5473,24668,0,11,4,80,0,2,Sales Executive,3,3,3,3.044522437723423,1.6094379124341005,0.6931471805599453,0,3,1,2,2,0,7,285,510,False,True,False,True
57,72,31,1,1082,1,4,Medical,1,95,1,87,1,2501,18775,0,17,2,80,0,4,Research Scientist,3,1,0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0,2,3,3,3,0,1,243,389,True,False,False,True
58,73,32,1,548,1,3,Life Sciences,1,96,1,66,2,6220,7346,0,17,2,80,2,3,Research Scientist,3,4,9,2.3978952727983707,2.3978952727983707,0.0,0,2,2,3,3,0,1,243,510,True,False,True,False
59,74,36,1,132,6,3,Life Sciences,1,97,0,55,1,3038,22002,0,12,2,80,0,3,Laboratory Technician,3,0,0,1.791759469228055,0.6931471805599453,0.0,0,4,2,4,3,0,3,217,510,True,False,True,False
60,76,35,1,776,1,4,Marketing,1,100,1,32,2,4312,23016,0,14,2,80,0,2,Sales Executive,3,13,8,2.833213344056216,2.772588722239781,1.0986122886681096,0,1,3,2,3,0,0,285,138,False,True,False,True
61,77,45,1,193,6,4,Other,1,101,1,52,3,13245,15067,0,14,2,80,0,3,Research Director,3,0,0,2.8903717578961645,0.0,0.0,0,1,4,3,4,1,4,72,68,True,False,True,False
62,78,37,1,397,7,4,Medical,1,102,1,30,3,13664,25258,0,13,1,80,0,3,Research Director,3,2,2,2.833213344056216,1.791759469228055,0.0,0,3,1,3,4,0,4,72,389,True,False,False,True
63,80,30,1,852,1,1,Life Sciences,1,104,1,55,2,5126,15998,0,12,3,80,2,1,Laboratory Technician,3,8,0,2.3978952727983707,2.3978952727983707,1.3862943611198906,0,4,4,2,2,1,1,217,510,True,False,True,False
64,81,35,1,1214,1,3,Medical,1,105,1,30,1,2859,26278,0,18,1,80,0,3,Research Scientist,3,4,4,1.9459101490553128,1.9459101490553128,0.0,0,3,2,2,3,0,1,243,389,True,False,False,True
65,82,55,1,111,1,2,Life Sciences,1,106,1,70,3,10239,18092,0,14,4,80,1,4,Sales Executive,3,0,0,3.218875824868201,0.6931471805599453,0.6931471805599453,0,4,1,3,3,0,3,285,510,False,True,True,False
66,83,38,0,573,6,3,Medical,1,107,0,79,2,5329,15717,0,12,4,80,3,3,Research Scientist,3,11,9,2.8903717578961645,2.639057329615259,0.6931471805599453,0,4,2,1,3,1,7,243,389,True,False,False,False
67,84,34,1,1153,1,2,Medical,1,110,1,94,2,4325,17736,0,15,3,80,0,2,Manufacturing Director,3,2,3,1.791759469228055,1.791759469228055,0.6931471805599453,0,2,1,3,3,0,1,118,389,True,False,True,False
68,85,56,1,1400,7,3,Life Sciences,1,112,1,49,3,7260,21698,0,11,1,80,0,3,Manufacturing Director,3,4,2,3.6375861597263857,1.9459101490553128,0.0,0,4,4,1,2,0,4,118,510,True,False,False,True
69,86,23,1,541,2,1,Technical Degree,1,113,1,62,1,2322,9518,0,13,3,80,1,3,Sales Representative,3,0,0,1.3862943611198906,0.0,0.0,0,1,3,3,3,0,3,71,115,False,True,False,False
70,88,30,1,288,2,3,Life Sciences,1,117,1,99,2,4152,15830,0,19,1,80,3,3,Healthcare Representative,3,10,8,2.4849066497880004,2.4849066497880004,2.3978952727983707,0,4,3,2,3,0,1,111,510,True,False,True,False
71,89,46,1,669,9,2,Medical,1,118,1,64,3,9619,13596,0,16,4,80,0,3,Sales Executive,3,8,7,2.302585092994046,2.302585092994046,1.6094379124341005,1,4,3,2,3,0,1,285,389,False,True,False,True
72,92,30,1,1334,4,2,Medical,1,121,0,63,2,5209,19760,0,12,2,80,3,4,Sales Executive,3,8,7,2.4849066497880004,2.4849066497880004,1.0986122886681096,0,2,3,2,2,1,1,285,389,False,True,False,False
73,93,46,2,638,1,3,Medical,1,124,1,40,3,10673,3142,0,13,3,80,1,5,Healthcare Representative,3,9,5,3.091042453358316,2.3978952727983707,2.302585092994046,0,1,3,2,2,1,2,111,389,True,False,True,False
74,94,32,1,1093,6,4,Medical,1,125,1,87,2,5010,24301,0,16,1,80,0,0,Sales Executive,3,8,7,2.5649493574615367,2.4849066497880004,1.791759469228055,0,3,2,3,3,0,1,285,389,False,True,False,True
75,95,54,1,1217,2,4,Technical Degree,1,126,0,60,3,13549,24001,0,12,1,80,1,5,Research Director,3,3,3,2.833213344056216,1.6094379124341005,0.0,0,3,1,3,1,0,9,72,115,True,False,True,False
76,97,28,0,120,4,3,Medical,1,129,1,43,2,4221,8863,0,15,2,80,0,3,Sales Executive,3,4,4,1.791759469228055,1.791759469228055,0.0,0,3,2,3,4,0,1,285,389,False,True,True,False
77,98,58,1,682,10,4,Medical,1,131,1,37,4,13872,24409,0,13,3,80,0,1,Sales Executive,3,10,8,3.6635616461296463,3.6375861597263857,0.6931471805599453,0,3,4,3,2,0,0,285,389,False,True,False,True
78,99,44,0,489,23,3,Medical,1,132,1,67,2,2042,25043,0,12,3,80,1,3,Laboratory Technician,3,2,2,2.8903717578961645,1.3862943611198906,0.6931471805599453,0,2,2,3,4,0,4,217,389,True,False,True,False
79,101,32,1,827,1,1,Life Sciences,1,134,1,71,1,2956,15178,0,13,4,80,0,2,Research Scientist,3,0,0,0.6931471805599453,0.6931471805599453,0.0,0,1,4,3,3,0,1,243,510,True,False,False,True
80,102,20,2,871,6,3,Life Sciences,1,137,0,66,1,2926,19783,0,18,2,80,0,5,Laboratory Technician,3,0,0,0.6931471805599453,0.6931471805599453,0.6931471805599453,1,4,4,2,3,1,1,217,510,True,False,False,True
81,103,34,1,665,6,4,Other,1,138,0,41,2,4809,12482,0,14,3,80,0,3,Research Scientist,3,13,10,2.833213344056216,2.833213344056216,1.0986122886681096,0,3,1,3,3,0,1,243,68,True,False,False,True
82,104,37,0,1040,2,2,Life Sciences,1,139,1,100,2,5163,15850,0,14,4,80,1,2,Healthcare Representative,3,0,0,2.8903717578961645,0.6931471805599453,0.0,0,4,3,2,4,0,5,111,510,True,False,False,False
83,106,50,2,1115,1,3,Life Sciences,1,141,0,73,5,18172,9755,0,19,1,80,0,1,Research Director,3,3,7,3.367295829986474,2.19722457733622,0.0,0,2,1,3,2,1,3,72,510,True,False,True,False
84,107,25,1,240,5,3,Marketing,1,142,1,46,2,5744,26959,0,11,4,80,0,1,Sales Executive,3,4,3,1.9459101490553128,1.9459101490553128,0.0,1,3,3,2,3,1,1,285,138,False,True,False,True
85,108,25,1,1280,7,1,Medical,1,143,1,64,1,2889,26897,0,11,3,80,2,2,Research Scientist,3,2,1,1.0986122886681096,1.0986122886681096,1.0986122886681096,0,4,4,2,3,0,1,243,389,True,False,True,False
86,109,22,1,534,15,3,Medical,1,144,0,59,1,2871,23785,0,15,3,80,0,5,Laboratory Technician,3,0,0,0.6931471805599453,0.0,0.0,0,4,2,3,3,0,1,217,389,True,False,False,True
87,112,54,0,142,26,3,Human Resources,1,148,0,30,4,17328,13871,0,12,3,80,0,3,Manager,3,3,4,3.1780538303479458,1.791759469228055,1.6094379124341005,0,4,4,4,3,1,2,82,24,False,False,False,True
88,113,24,1,1127,18,1,Life Sciences,1,150,1,52,1,2774,13257,0,12,3,80,1,2,Laboratory Technician,3,3,2,1.9459101490553128,1.791759469228055,0.6931471805599453,0,3,2,3,3,0,0,217,510,True,False,True,False
89,114,34,1,1031,6,4,Life Sciences,1,151,0,45,2,4505,15000,0,15,3,80,1,3,Research Scientist,3,0,0,2.5649493574615367,0.6931471805599453,0.0,0,2,3,2,3,0,6,243,510,True,False,False,False
90,115,37,1,1189,3,3,Life Sciences,1,152,1,87,3,7428,14506,0,12,1,80,0,3,Sales Executive,3,3,3,2.5649493574615367,1.791759469228055,0.6931471805599453,0,4,3,3,3,0,2,285,510,False,True,False,True
91,116,34,1,1354,5,3,Medical,1,153,0,45,3,11631,5615,0,12,4,80,0,6,Manager,3,10,8,2.70805020110221,2.4849066497880004,1.791759469228055,0,1,3,2,3,0,2,82,389,True,False,False,True
92,117,36,2,1467,11,2,Technical Degree,1,154,0,92,3,9738,22952,0,14,3,80,1,6,Sales Executive,3,7,8,2.3978952727983707,2.302585092994046,1.0986122886681096,0,4,2,3,3,0,0,285,115,False,True,True,False
93,119,43,2,394,26,2,Life Sciences,1,158,1,92,4,16959,19494,0,12,4,80,2,3,Manager,3,12,12,3.258096538021482,3.258096538021482,1.6094379124341005,0,4,3,3,4,1,1,82,510,False,True,True,False
94,121,33,0,750,22,2,Marketing,1,160,1,95,2,6146,15480,0,13,1,80,1,2,Sales Executive,3,7,7,2.19722457733622,2.079441541679836,0.0,0,2,3,3,4,0,0,285,138,False,True,True,False
95,122,56,1,441,14,4,Life Sciences,1,161,0,72,1,4963,4510,0,18,1,80,3,2,Research Scientist,3,4,3,2.079441541679836,1.791759469228055,1.6094379124341005,1,2,2,3,3,1,9,243,510,True,False,True,False
96,123,51,1,684,6,3,Life Sciences,1,162,1,51,5,19537,6462,0,13,3,80,0,5,Research Director,3,18,15,3.1780538303479458,3.044522437723423,2.772588722239781,0,3,1,3,3,0,7,72,510,True,False,False,True
97,124,31,1,249,6,4,Life Sciences,1,163,1,76,2,6172,20739,0,18,2,80,0,3,Sales Executive,3,7,7,2.5649493574615367,2.079441541679836,2.079441541679836,1,3,2,1,2,1,4,285,510,False,True,True,False
98,125,26,1,841,6,3,Other,1,164,0,46,1,2368,23300,0,19,3,80,0,3,Research Scientist,3,4,3,1.791759469228055,1.791759469228055,1.6094379124341005,0,2,3,2,2,0,1,243,68,True,False,True,False
99,126,58,1,147,23,4,Medical,1,165,0,94,3,10312,3465,0,12,4,80,1,3,Healthcare Representative,3,10,6,3.713572066704308,3.713572066704308,2.772588722239781,1,4,4,3,2,0,1,111,389,True,False,True,False
100,127,19,1,528,22,1,Marketing,1,167,1,50,1,1675,26820,0,19,4,80,0,2,Sales Representative,3,0,0,0.0,0.0,0.0,1,3,4,3,2,1,1,71,138,False,True,False,True
101,128,22,1,594,2,1,Technical Degree,1,169,1,100,1,2523,19299,0,14,3,80,1,2,Laboratory Technician,3,1,1,1.3862943611198906,1.0986122886681096,1.0986122886681096,0,4,3,3,3,0,0,217,115,True,False,True,False
102,129,49,1,470,20,4,Medical,1,170,0,96,2,6567,5549,0,14,3,80,0,2,Manufacturing Director,3,11,11,2.833213344056216,2.772588722239781,1.791759469228055,0,1,3,3,2,0,1,118,389,True,False,True,False
103,130,43,2,957,28,3,Medical,1,171,0,72,1,4739,16090,0,12,4,80,0,2,Research Scientist,3,2,2,2.9444389791664403,1.3862943611198906,0.6931471805599453,0,3,2,4,3,0,4,243,389,True,False,False,True
104,131,50,2,809,12,3,Marketing,1,174,0,77,3,9208,6645,0,11,4,80,0,3,Sales Executive,3,2,1,2.833213344056216,1.0986122886681096,1.0986122886681096,0,4,3,3,3,0,4,285,138,False,True,False,True
105,132,31,1,542,20,3,Life Sciences,1,175,0,71,2,4559,24788,0,11,3,80,1,2,Sales Executive,3,2,2,1.6094379124341005,1.0986122886681096,1.0986122886681096,1,3,2,1,3,1,3,285,510,False,True,True,False
106,133,41,1,802,9,1,Life Sciences,1,176,1,96,3,8189,21196,0,13,3,80,1,2,Sales Executive,3,7,7,2.5649493574615367,2.302585092994046,0.0,0,3,3,3,3,1,3,285,510,False,True,False,False
107,136,51,2,1150,8,4,Life Sciences,1,179,1,53,3,10650,25150,0,15,4,80,0,2,Manufacturing Director,3,2,3,2.9444389791664403,1.6094379124341005,0.0,1,4,1,1,3,0,2,118,510,True,False,False,True
108,137,39,1,1329,4,4,Life Sciences,1,182,0,47,2,5902,14590,0,14,3,80,1,1,Sales Executive,3,11,9,2.8903717578961645,2.772588722239781,1.791759469228055,0,3,4,2,4,0,4,285,510,False,True,True,False
109,138,25,1,959,28,3,Life Sciences,1,183,1,41,2,8639,24835,0,18,4,80,0,3,Sales Executive,3,2,2,1.9459101490553128,1.0986122886681096,1.0986122886681096,0,3,1,2,3,0,2,285,510,False,True,True,False
110,139,30,1,1240,9,3,Human Resources,1,184,1,48,2,6347,13982,0,19,4,80,0,2,Human Resources,3,9,7,2.5649493574615367,2.4849066497880004,1.6094379124341005,0,4,3,3,1,1,0,45,24,False,False,True,False
111,141,45,1,1316,29,3,Medical,1,192,1,83,1,3452,9752,0,13,2,80,0,2,Research Scientist,3,5,3,2.302585092994046,1.9459101490553128,0.0,0,4,3,3,2,0,5,243,389,True,False,False,True
112,143,30,1,438,18,3,Life Sciences,1,194,0,75,1,2632,23910,0,14,3,80,0,4,Research Scientist,3,4,4,1.791759469228055,1.791759469228055,0.0,0,3,1,3,2,0,1,243,510,True,False,False,True
113,144,32,2,689,9,2,Medical,1,195,1,35,2,4668,22812,0,17,4,80,3,2,Sales Executive,3,7,7,2.302585092994046,2.19722457733622,0.0,0,4,4,1,4,0,0,285,389,False,True,False,False
114,145,30,1,201,5,3,Technical Degree,1,197,0,84,1,3204,10415,0,14,4,80,1,3,Research Scientist,3,2,2,2.19722457733622,1.3862943611198906,1.0986122886681096,0,1,4,3,3,0,5,243,115,True,False,False,False
115,146,30,1,1427,2,1,Medical,1,198,1,35,1,2720,11162,0,13,4,80,0,3,Laboratory Technician,3,3,2,1.9459101490553128,1.791759469228055,0.6931471805599453,0,4,2,2,3,0,0,217,389,True,False,False,True
116,147,41,2,857,10,3,Life Sciences,1,199,1,91,4,17181,12888,0,13,2,80,1,2,Manager,3,6,7,3.091042453358316,2.079441541679836,2.079441541679836,0,1,4,2,2,0,4,82,510,True,False,False,False
117,149,19,1,1181,3,1,Medical,1,201,0,79,1,1483,16102,0,14,4,80,0,3,Laboratory Technician,3,0,0,0.6931471805599453,0.6931471805599453,0.0,0,2,2,3,3,0,1,217,389,True,False,False,True
118,150,40,2,1395,26,3,Medical,1,202,0,54,2,5605,8504,0,11,1,80,1,2,Research Scientist,3,7,13,3.044522437723423,3.044522437723423,1.0986122886681096,0,2,2,3,3,0,1,243,389,True,False,False,False
