,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,Gender,HourlyRate,JobLevel,MaritalStatus,MonthlyIncome,MonthlyRate,Over18,PercentSalaryHike,RelationshipSatisfaction,StandardHours,StockOptionLevel,TrainingTimesLastYear,JobRole,PerformanceRating,YearsInCurrentRole,YearsWithCurrManager,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,Attrition,JobSatisfaction,EnvironmentSatisfaction,JobInvolvement,WorkLifeBalance,OverTime,NumCompaniesWorked
66,36,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,1,85,Male,95,2,Single,6499,22656,Y,13,3,80,0,3,Manufacturing Director,3,5,3,1.9459101490553132,1.9459101490553132,0.0,No,2,2,2,3,No,1
67,45,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,1,86,Male,59,3,Divorced,9724,18787,Y,17,3,80,1,2,Research Scientist,3,0,0,3.258096538021482,0.6931471805599453,0.0,No,1,2,3,3,No,2
68,35,Travel_Frequently,664,Research & Development,1,3,Medical,1,88,Male,79,1,Married,2194,5868,Y,13,4,80,1,2,Research Scientist,3,2,2,1.791759469228055,1.3862943611198906,0.6931471805599453,No,1,2,3,2,No,4
69,36,Travel_Rarely,318,Research & Development,9,3,Medical,1,90,Male,79,1,Married,3388,21777,Y,17,1,80,1,0,Research Scientist,3,0,0,1.0986122886681096,0.6931471805599453,0.0,Yes,3,4,2,2,Yes,0
70,59,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,91,Female,57,2,Single,5473,24668,Y,11,4,80,0,2,Sales Executive,3,3,3,3.044522437723423,1.6094379124341003,0.6931471805599453,No,3,1,2,2,No,7
72,31,Travel_Rarely,1082,Research & Development,1,4,Medical,1,95,Male,87,1,Single,2501,18775,Y,17,2,80,0,4,Research Scientist,3,1,0,0.6931471805599453,0.6931471805599453,0.6931471805599453,No,2,3,3,3,No,1
73,32,Travel_Rarely,548,Research & Development,1,3,Life Sciences,1,96,Male,66,2,Married,6220,7346,Y,17,2,80,2,3,Research Scientist,3,4,9,2.3978952727983707,2.3978952727983707,0.0,No,2,2,3,3,No,1
74,36,Travel_Rarely,132,Research & Development,6,3,Life Sciences,1,97,Female,55,1,Married,3038,22002,Y,12,2,80,0,3,Laboratory Technician,3,0,0,1.791759469228055,0.6931471805599453,0.0,No,4,2,4,3,No,3
76,35,Travel_Rarely,776,Sales,1,4,Marketing,1,100,Male,32,2,Single,4312,23016,Y,14,2,80,0,2,Sales Executive,3,13,8,2.833213344056216,2.772588722239781,1.0986122886681096,No,1,3,2,3,No,0
77,45,Travel_Rarely,193,Research & Development,6,4,Other,1,101,Male,52,3,Married,13245,15067,Y,14,2,80,0,3,Research Director,3,0,0,2.8903717578961645,0.0,0.0,No,1,4,3,4,Yes,4
78,37,Travel_Rarely,397,Research & Development,7,4,Medical,1,102,Male,30,3,Single,13664,25258,Y,13,1,80,0,3,Research Director,3,2,2,2.833213344056216,1.791759469228055,0.0,No,3,1,3,4,No,4
80,30,Travel_Rarely,852,Research & Development,1,1,Life Sciences,1,104,Male,55,2,Married,5126,15998,Y,12,3,80,2,1,Laboratory Technician,3,8,0,2.3978952727983707,2.3978952727983707,1.3862943611198906,No,4,4,2,2,Yes,1
81,35,Travel_Rarely,1214,Research & Development,1,3,Medical,1,105,Male,30,1,Single,2859,26278,Y,18,1,80,0,3,Research Scientist,3,4,4,1.9459101490553132,1.9459101490553132,0.0,No,3,2,2,3,No,1
82,55,Travel_Rarely,111,Sales,1,2,Life Sciences,1,106,Male,70,3,Married,10239,18092,Y,14,4,80,1,4,Sales Executive,3,0,0,3.2188758248682006,0.6931471805599453,0.6931471805599453,No,4,1,3,3,No,3
83,38,Non-Travel,573,Research & Development,6,3,Medical,1,107,Female,79,2,Divorced,5329,15717,Y,12,4,80,3,3,Research Scientist,3,11,9,2.8903717578961645,2.639057329615259,0.6931471805599453,No,4,2,1,3,Yes,7
84,34,Travel_Rarely,1153,Research & Development,1,2,Medical,1,110,Male,94,2,Married,4325,17736,Y,15,3,80,0,2,Manufacturing Director,3,2,3,1.791759469228055,1.791759469228055,0.6931471805599453,No,2,1,3,3,No,1
85,56,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,1,112,Male,49,3,Single,7260,21698,Y,11,1,80,0,3,Manufacturing Director,3,4,2,3.6375861597263857,1.9459101490553132,0.0,No,4,4,1,2,No,4
86,23,Travel_Rarely,541,Sales,2,1,Technical Degree,1,113,Male,62,1,Divorced,2322,9518,Y,13,3,80,1,3,Sales Representative,3,0,0,1.3862943611198906,0.0,0.0,No,1,3,3,3,No,3
88,30,Travel_Rarely,288,Research & Development,2,3,Life Sciences,1,117,Male,99,2,Married,4152,15830,Y,19,1,80,3,3,Healthcare Representative,3,10,8,2.4849066497880004,2.4849066497880004,2.3978952727983707,No,4,3,2,3,No,1
89,46,Travel_Rarely,669,Sales,9,2,Medical,1,118,Male,64,3,Single,9619,13596,Y,16,4,80,0,3,Sales Executive,3,8,7,2.302585092994046,2.302585092994046,1.6094379124341003,Yes,4,3,2,3,No,1
92,30,Travel_Rarely,1334,Sales,4,2,Medical,1,121,Female,63,2,Divorced,5209,19760,Y,12,2,80,3,4,Sales Executive,3,8,7,2.4849066497880004,2.4849066497880004,1.0986122886681096,No,2,3,2,2,Yes,1
93,46,Travel_Frequently,638,Research & Development,1,3,Medical,1,124,Male,40,3,Married,10673,3142,Y,13,3,80,1,5,Healthcare Representative,3,9,5,3.091042453358316,2.3978952727983707,2.302585092994046,No,1,3,2,2,Yes,2
94,32,Travel_Rarely,1093,Sales,6,4,Medical,1,125,Male,87,2,Single,5010,24301,Y,16,1,80,0,0,Sales Executive,3,8,7,2.5649493574615367,2.4849066497880004,1.791759469228055,No,3,2,3,3,No,1
95,54,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,126,Female,60,3,Married,13549,24001,Y,12,1,80,1,5,Research Director,3,3,3,2.833213344056216,1.6094379124341003,0.0,No,3,1,3,1,No,9
97,28,Non-Travel,120,Sales,4,3,Medical,1,129,Male,43,2,Married,4221,8863,Y,15,2,80,0,3,Sales Executive,3,4,4,1.791759469228055,1.791759469228055,0.0,No,3,2,3,4,No,1
98,58,Travel_Rarely,682,Sales,10,4,Medical,1,131,Male,37,4,Single,13872,24409,Y,13,3,80,0,1,Sales Executive,3,10,8,3.6635616461296463,3.6375861597263857,0.6931471805599453,No,3,4,3,2,No,0
99,44,Non-Travel,489,Research & Development,23,3,Medical,1,132,Male,67,2,Married,2042,25043,Y,12,3,80,1,3,Laboratory Technician,3,2,2,2.8903717578961645,1.3862943611198906,0.6931471805599453,No,2,2,3,4,No,4
101,32,Travel_Rarely,827,Research & Development,1,1,Life Sciences,1,134,Male,71,1,Single,2956,15178,Y,13,4,80,0,2,Research Scientist,3,0,0,0.6931471805599453,0.6931471805599453,0.0,No,1,4,3,3,No,1
102,20,Travel_Frequently,871,Research & Development,6,3,Life Sciences,1,137,Female,66,1,Single,2926,19783,Y,18,2,80,0,5,Laboratory Technician,3,0,0,0.6931471805599453,0.6931471805599453,0.6931471805599453,Yes,4,4,2,3,Yes,1
103,34,Travel_Rarely,665,Research & Development,6,4,Other,1,138,Female,41,2,Single,4809,12482,Y,14,3,80,0,3,Research Scientist,3,13,10,2.833213344056216,2.833213344056216,1.0986122886681096,No,3,1,3,3,No,1
104,37,Non-Travel,1040,Research & Development,2,2,Life Sciences,1,139,Male,100,2,Divorced,5163,15850,Y,14,4,80,1,2,Healthcare Representative,3,0,0,2.8903717578961645,0.6931471805599453,0.0,No,4,3,2,4,No,5
106,50,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,1,141,Female,73,5,Married,18172,9755,Y,19,1,80,0,1,Research Director,3,3,7,3.367295829986474,2.1972245773362196,0.0,No,2,1,3,2,Yes,3
107,25,Travel_Rarely,240,Sales,5,3,Marketing,1,142,Male,46,2,Single,5744,26959,Y,11,4,80,0,1,Sales Executive,3,4,3,1.9459101490553132,1.9459101490553132,0.0,Yes,3,3,2,3,Yes,1
108,25,Travel_Rarely,1280,Research & Development,7,1,Medical,1,143,Male,64,1,Married,2889,26897,Y,11,3,80,2,2,Research Scientist,3,2,1,1.0986122886681096,1.0986122886681096,1.0986122886681096,No,4,4,2,3,No,1
109,22,Travel_Rarely,534,Research & Development,15,3,Medical,1,144,Female,59,1,Single,2871,23785,Y,15,3,80,0,5,Laboratory Technician,3,0,0,0.6931471805599453,0.0,0.0,No,4,2,3,3,No,1
112,54,Non-Travel,142,Human Resources,26,3,Human Resources,1,148,Female,30,4,Single,17328,13871,Y,12,3,80,0,3,Manager,3,3,4,3.1780538303479458,1.791759469228055,1.6094379124341003,No,4,4,4,3,Yes,2
113,24,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,1,150,Male,52,1,Married,2774,13257,Y,12,3,80,1,2,Laboratory Technician,3,3,2,1.9459101490553132,1.791759469228055,0.6931471805599453,No,3,2,3,3,No,0
114,34,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,1,151,Female,45,2,Divorced,4505,15000,Y,15,3,80,1,3,Research Scientist,3,0,0,2.5649493574615367,0.6931471805599453,0.0,No,2,3,2,3,No,6
115,37,Travel_Rarely,1189,Sales,3,3,Life Sciences,1,152,Male,87,3,Single,7428,14506,Y,12,1,80,0,3,Sales Executive,3,3,3,2.5649493574615367,1.791759469228055,0.6931471805599453,No,4,3,3,3,No,2
116,34,Travel_Rarely,1354,Research & Development,5,3,Medical,1,153,Female,45,3,Single,11631,5615,Y,12,4,80,0,6,Manager,3,10,8,2.70805020110221,2.4849066497880004,1.791759469228055,No,1,3,2,3,No,2
117,36,Travel_Frequently,1467,Sales,11,2,Technical Degree,1,154,Female,92,3,Married,9738,22952,Y,14,3,80,1,6,Sales Executive,3,7,8,2.3978952727983707,2.302585092994046,1.0986122886681096,No,4,2,3,3,No,0
119,43,Travel_Frequently,394,Sales,26,2,Life Sciences,1,158,Male,92,4,Married,16959,19494,Y,12,4,80,2,3,Manager,3,12,12,3.258096538021482,3.258096538021482,1.6094379124341003,No,4,3,3,4,Yes,1
121,33,Non-Travel,750,Sales,22,2,Marketing,1,160,Male,95,2,Married,6146,15480,Y,13,1,80,1,2,Sales Executive,3,7,7,2.1972245773362196,2.0794415416798357,0.0,No,2,3,3,4,No,0
122,56,Travel_Rarely,441,Research & Development,14,4,Life Sciences,1,161,Female,72,1,Married,4963,4510,Y,18,1,80,3,2,Research Scientist,3,4,3,2.0794415416798357,1.791759469228055,1.6094379124341003,Yes,2,2,3,3,Yes,9
123,51,Travel_Rarely,684,Research & Development,6,3,Life Sciences,1,162,Male,51,5,Single,19537,6462,Y,13,3,80,0,5,Research Director,3,18,15,3.1780538303479458,3.044522437723423,2.772588722239781,No,3,1,3,3,No,7
124,31,Travel_Rarely,249,Sales,6,4,Life Sciences,1,163,Male,76,2,Married,6172,20739,Y,18,2,80,0,3,Sales Executive,3,7,7,2.5649493574615367,2.0794415416798357,2.0794415416798357,Yes,3,2,1,2,Yes,4
125,26,Travel_Rarely,841,Research & Development,6,3,Other,1,164,Female,46,1,Married,2368,23300,Y,19,3,80,0,3,Research Scientist,3,4,3,1.791759469228055,1.791759469228055,1.6094379124341003,No,2,3,2,2,No,1
126,58,Travel_Rarely,147,Research & Development,23,4,Medical,1,165,Female,94,3,Married,10312,3465,Y,12,4,80,1,3,Healthcare Representative,3,10,6,3.713572066704308,3.713572066704308,2.772588722239781,Yes,4,4,3,2,No,1
127,19,Travel_Rarely,528,Sales,22,1,Marketing,1,167,Male,50,1,Single,1675,26820,Y,19,4,80,0,2,Sales Representative,3,0,0,0.0,0.0,0.0,Yes,3,4,3,2,Yes,1
128,22,Travel_Rarely,594,Research & Development,2,1,Technical Degree,1,169,Male,100,1,Married,2523,19299,Y,14,3,80,1,2,Laboratory Technician,3,1,1,1.3862943611198906,1.0986122886681096,1.0986122886681096,No,4,3,3,3,No,0
129,49,Travel_Rarely,470,Research & Development,20,4,Medical,1,170,Female,96,2,Married,6567,5549,Y,14,3,80,0,2,Manufacturing Director,3,11,11,2.833213344056216,2.772588722239781,1.791759469228055,No,1,3,3,2,No,1
130,43,Travel_Frequently,957,Research & Development,28,3,Medical,1,171,Female,72,1,Single,4739,16090,Y,12,4,80,0,2,Research Scientist,3,2,2,2.9444389791664403,1.3862943611198906,0.6931471805599453,No,3,2,4,3,No,4
131,50,Travel_Frequently,809,Sales,12,3,Marketing,1,174,Female,77,3,Single,9208,6645,Y,11,4,80,0,3,Sales Executive,3,2,1,2.833213344056216,1.0986122886681096,1.0986122886681096,No,4,3,3,3,No,4
132,31,Travel_Rarely,542,Sales,20,3,Life Sciences,1,175,Female,71,2,Married,4559,24788,Y,11,3,80,1,2,Sales Executive,3,2,2,1.6094379124341003,1.0986122886681096,1.0986122886681096,Yes,3,2,1,3,Yes,3
133,41,Travel_Rarely,802,Sales,9,1,Life Sciences,1,176,Male,96,3,Divorced,8189,21196,Y,13,3,80,1,2,Sales Executive,3,7,7,2.5649493574615367,2.302585092994046,0.0,No,3,3,3,3,Yes,3
136,51,Travel_Frequently,1150,Research & Development,8,4,Life Sciences,1,179,Male,53,3,Single,10650,25150,Y,15,4,80,0,2,Manufacturing Director,3,2,3,2.9444389791664403,1.6094379124341003,0.0,Yes,4,1,1,3,No,2
137,39,Travel_Rarely,1329,Sales,4,4,Life Sciences,1,182,Female,47,2,Married,5902,14590,Y,14,3,80,1,1,Sales Executive,3,11,9,2.8903717578961645,2.772588722239781,1.791759469228055,No,3,4,2,4,No,4
138,25,Travel_Rarely,959,Sales,28,3,Life Sciences,1,183,Male,41,2,Married,8639,24835,Y,18,4,80,0,3,Sales Executive,3,2,2,1.9459101490553132,1.0986122886681096,1.0986122886681096,No,3,1,2,3,No,2
139,30,Travel_Rarely,1240,Human Resources,9,3,Human Resources,1,184,Male,48,2,Married,6347,13982,Y,19,4,80,0,2,Human Resources,3,9,7,2.5649493574615367,2.4849066497880004,1.6094379124341003,No,4,3,3,1,Yes,0
141,45,Travel_Rarely,1316,Research & Development,29,3,Medical,1,192,Male,83,1,Single,3452,9752,Y,13,2,80,0,2,Research Scientist,3,5,3,2.302585092994046,1.9459101490553132,0.0,No,4,3,3,2,No,5
143,30,Travel_Rarely,438,Research & Development,18,3,Life Sciences,1,194,Female,75,1,Single,2632,23910,Y,14,3,80,0,4,Research Scientist,3,4,4,1.791759469228055,1.791759469228055,0.0,No,3,1,3,2,No,1
144,32,Travel_Frequently,689,Sales,9,2,Medical,1,195,Male,35,2,Divorced,4668,22812,Y,17,4,80,3,2,Sales Executive,3,7,7,2.302585092994046,2.1972245773362196,0.0,No,4,4,1,4,No,0
145,30,Travel_Rarely,201,Research & Development,5,3,Technical Degree,1,197,Female,84,1,Divorced,3204,10415,Y,14,4,80,1,3,Research Scientist,3,2,2,2.1972245773362196,1.3862943611198906,1.0986122886681096,No,1,4,3,3,No,5
